Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
"09/09/2022 07:33",4055.25,4055.75,4055.25,4055.75,0.75,+0.02%,316,N/A
"09/09/2022 07:32",4056,4056,4054.75,4055,-0.75,-0.02%,358,N/A
"09/09/2022 07:31",4053,4055.75,4053,4055.75,2.75,+0.07%,688,N/A
"09/09/2022 07:30",4053.25,4054,4052,4053,-0.5,-0.01%,520,N/A
"09/09/2022 07:29",4055.25,4055.25,4053.5,4053.5,-1.75,-0.04%,282,N/A
"09/09/2022 07:28",4054.75,4056.25,4054.5,4055.25,0.75,+0.02%,686,N/A
"09/09/2022 07:27",4054.25,4054.75,4054,4054.5,0.25,+0.01%,180,N/A
"09/09/2022 07:26",4053.5,4054.25,4053,4054.25,0.75,+0.02%,241,N/A
"09/09/2022 07:25",4053,4053.75,4053,4053.5,0.5,+0.01%,255,N/A
"09/09/2022 07:24",4053.25,4053.5,4052.75,4053,-0.25,-0.01%,236,N/A
"09/09/2022 07:23",4053.25,4054,4053.25,4053.25,0,0.00%,264,N/A
"09/09/2022 07:22",4051.75,4053.5,4051.75,4053.25,1.5,+0.04%,236,N/A
"09/09/2022 07:21",4051.75,4052.75,4051.5,4051.75,0,0.00%,321,N/A
"09/09/2022 07:20",4052,4052.25,4051.75,4051.75,-0.5,-0.01%,174,N/A
"09/09/2022 07:19",4052.5,4053,4052.25,4052.25,-0.25,-0.01%,320,N/A
"09/09/2022 07:18",4051.5,4052.75,4051,4052.5,1,+0.02%,290,N/A
"09/09/2022 07:17",4050.75,4052,4050.25,4051.5,0.75,+0.02%,307,N/A
"09/09/2022 07:16",4051,4051.5,4050.75,4050.75,-0.25,-0.01%,117,N/A
"09/09/2022 07:15",4050.75,4051.5,4050,4051,0.25,+0.01%,217,N/A
"09/09/2022 07:14",4050.75,4050.75,4050.25,4050.75,0,0.00%,137,N/A
"09/09/2022 07:13",4050.25,4051.25,4050.25,4050.75,0.75,+0.02%,298,N/A
"09/09/2022 07:12",4049.75,4050.5,4049.25,4050,0.5,+0.01%,253,N/A
"09/09/2022 07:11",4049.25,4049.5,4048.5,4049.5,0.25,+0.01%,358,N/A
"09/09/2022 07:10",4049.25,4049.75,4048.5,4049.25,0.25,+0.01%,338,N/A
"09/09/2022 07:09",4049.75,4049.75,4048.5,4049,-0.5,-0.01%,435,N/A
"09/09/2022 07:08",4050,4050.25,4049.5,4049.5,-0.5,-0.01%,367,N/A
"09/09/2022 07:07",4050,4050,4049.5,4050,0,0.00%,189,N/A
"09/09/2022 07:06",4050,4050,4049.25,4050,0,0.00%,310,N/A
"09/09/2022 07:05",4050.75,4051,4049.75,4050,-1,-0.02%,202,N/A
"09/09/2022 07:04",4050.5,4051.75,4050,4051,0.5,+0.01%,288,N/A
"09/09/2022 07:03",4051.25,4051.5,4050,4050.5,-0.75,-0.02%,301,N/A
"09/09/2022 07:02",4052.5,4052.75,4051.25,4051.25,-1.5,-0.04%,334,N/A
"09/09/2022 07:01",4051.5,4053,4051.25,4052.75,1.25,+0.03%,252,N/A
"09/09/2022 07:00",4052.75,4052.75,4051,4051.5,-1,-0.02%,251,N/A
"09/09/2022 06:59",4052.25,4053.25,4052.25,4052.5,0.25,+0.01%,140,N/A
"09/09/2022 06:58",4052.25,4053,4051.75,4052.25,-0.25,-0.01%,330,N/A
"09/09/2022 06:57",4051.25,4052.5,4051,4052.5,1.25,+0.03%,300,N/A
"09/09/2022 06:56",4050.75,4051.25,4050.25,4051.25,0.5,+0.01%,210,N/A
"09/09/2022 06:55",4052.75,4053,4050,4050.75,-2,-0.05%,443,N/A
"09/09/2022 06:54",4052.75,4053,4052.25,4052.75,0,0.00%,294,N/A
"09/09/2022 06:53",4053.25,4053.25,4052.5,4052.75,-0.5,-0.01%,386,N/A
"09/09/2022 06:52",4053.5,4053.75,4053,4053.25,-0.5,-0.01%,436,N/A
"09/09/2022 06:51",4053.75,4053.75,4053.25,4053.75,0,0.00%,120,N/A
"09/09/2022 06:50",4053.75,4053.75,4053.25,4053.75,0.25,+0.01%,114,N/A
"09/09/2022 06:49",4053.75,4054,4053,4053.5,-0.25,-0.01%,108,N/A
"09/09/2022 06:48",4053.75,4054,4053.25,4053.75,0,0.00%,338,N/A
"09/09/2022 06:47",4053.25,4053.75,4053,4053.75,0.5,+0.01%,247,N/A
"09/09/2022 06:46",4053.25,4053.5,4053,4053.25,0,0.00%,114,N/A
